"Agency","Agency (abbrv.)","Reviews of ISI","Reviews of HISA","Total Peer Reviews Completed","Waivers, Deferrals, or Exemptions (ISI)","Waivers, Deferrals, or Exemptions (HISA)","Waivers, Deferrals, or Exemptions","Potential Reviewer Conflicts (ISI)","Potential Reviewer Conflicts (HISA)","Potential Reviewer Conflicts","Agency1","Agency2","Agency3","Agency4","Agency5","Agency6","Agency7","Agency8","Agency9"
"Consumer Products Safety Commission","CPSC",,,0,,,0,0,0,0,,,,,,,,,
"Veterans Administration","VA",,,0,,,0,0,0,0,,,,,,,,,
"Federal Communication Commission","FCC",,,0,,,0,0,0,0,,,,,,,,,
"Department of Commerce","DOC",8,,8,,,0,0,0,0,,,,,,,,,
"Department of Agriculture","USDA",3,0,3,0,,0,0,0,0,"FSIS","FS",,,,,,,
"Department of State","STATE",0,,0,,,0,0,0,0,"USAID",,,,,,,,
"Consumer Financial Protection Bureau","CFPB",0,,0,,,0,0,0,0,,,,,,,,,
"Environmental Protection Agency","EPA",1,,1,,,0,0,0,0,,,,,,,,,
"Department of Energy","DOE",0,,0,,,0,0,0,0,,,,,,,,,
"Department of the Interior","DOI",186,5,191,5,2,7,0,0,0,"USGS",,"Reclamation","FWS","BSEE",,,,
"Department of Health and Human Services","HHS",7,1,,,,,,,,"CDC","NIH",,,,,,,
