"Agency","FY03","FY04","FY05","FY06","FY07","FY08","FY09","FY10","FY11","FY12","FY13","FY14","FY15","FY16","FY17","FY18","FY19","FY20","FY21","FY22","FY23","Total"
"USDA",5,1,0,0,0,2,3,2,0,0,1,5,6,3,0,0,1,0,0,1,0,30
"DOC",4,2,2,1,7,0,1,1,4,2,0,0,1,0,1,0,1,1,0,0,1,29
"DOD",1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"ED",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,7
"DOE",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,8
"HHS",10,9,5,7,1,1,2,2,3,2,3,4,10,2,2,1,6,6,2,2,1,81
"DOI",6,6,1,1,3,4,5,4,5,6,10,2,6,4,1,2,1,2,0,0,1,70
"DOJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"DOL",0,0,4,1,1,1,0,1,1,1,0,0,1,2,4,0,0,0,0,0,0,17
"DOT",0,1,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
"TREAS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13
"STATE",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VA",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"CPSC",4,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,10
"EPA",13,12,7,5,3,4,2,11,1,4,3,3,4,4,2,3,4,0,5,1,1,92
"FEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NASA",0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,6
"NARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTP",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"FCC",0,1,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9
"CFTC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Access Board",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FDIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FTC",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
"GSA",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,4
"NTSB",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ONDCP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HUD",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FRS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,7
"FHFA",0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,5
"OMB",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"NEA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3
"CFPB",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3
